"freq","word"
"47350","the"
"23936","and"
"10928","for"
"10590","that"
"9403","you"
"7074","with"
"6351","was"
"5502","this"
"5388","have"
"4850","are"
"4681","but"
"4034","not"
"3836","from"
"3589","its"
"3376","all"
"3154","they"
"3141","said"
"3108","his"
"3102","will"
"3098","your"
"3050","just"
"2983","out"
"2900","about"
"2846","one"
"2797","what"
"2670","like"
"2625","when"
"2569","has"
"2552","who"
"2439","can"
"2413","more"
"2380","get"
"2268","had"
"2198","time"
"2187","were"
"2160","would"
"2120","there"
"2060","her"
"2010","some"
"1978","their"
"1941","she"
"1927","new"
"1855","good"
"1845","our"
"1826","now"
"1824","been"
"1791","how"
"1691","day"
"1690","dont"
"1658","them"
"1657","love"
"1633","know"
"1620","people"
"1402","than"
"1395","back"
"1373","first"
"1361","see"
"1357","which"
"1346","only"
"1331","after"
"1326","make"
"1321","also"
"1317","well"
"1269","into"
"1252","other"
"1235","going"
"1232","last"
"1227","over"
"1226","because"
"1225","then"
"1225","think"
"1206","great"
"1175","much"
"1175","year"
"1168","him"
"1134","really"
"1134","too"
"1134","two"
"1128","way"
"1092","could"
"1090","want"
"1076","work"
"1074","got"
"1071","even"
"1053","years"
"1052","right"
"1043","still"
"1030","did"
"1021","need"
"1008","today"
"988","where"
"984","off"
"968","very"
"955","thanks"
"953","any"
"924","down"
"921","here"
"909","thats"
"905","most"
"902","should"
"878","many"
"863","take"
"862","before"
"857","those"
"856","being"
"856","cant"
"855","life"
"852","say"
"847","little"
"845","home"
"831","come"
"831","these"
"829","made"
"803","never"
"788","night"
"785","best"
"783","through"
"778","while"
"766","why"
"763","next"
"754","week"
"743","may"
"743","things"
"732","didnt"
"729","lol"
"727","something"
"700","school"
"699","ive"
"694","better"
"692","around"
"678","game"
"678","youre"
"673","state"
"668","show"
"666","always"
"663","happy"
"661","long"
"657","every"
"655","another"
"650","world"
"607","look"
"598","big"
"597","since"
"585","man"
"584","feel"
"579","same"
"575","sure"
"574","again"
"562","use"
"561","follow"
"559","hope"
"559","own"
"557","city"
"554","ill"
"554","thing"
"551","few"
"550","three"
"549","team"
"545","does"
"541","lot"
"538","help"
"534","family"
"532","says"
"529","getting"
"526","ever"
"521","such"
"516","give"
"512","tonight"
"511","let"
"510","place"
"506","find"
"499","put"
"498","though"
"493","play"
"490","part"
"488","might"
"485","until"
"484","yes"
"482","old"
"480","end"
"480","start"
"479","days"
"476","house"
"475","each"
"474","both"
"471","doing"
"470","morning"
"468","away"
"465","looking"
"459","season"
"457","during"
"456","everyone"
"454","found"
"454","hes"
"454","keep"
"454","tell"
"453","done"
"452","used"
"451","free"
"449","thank"
"448","live"
"444","high"
"441","went"
"440","friends"
"435","doesnt"
"435","without"
"430","enough"
"430","fun"
"430","told"
"428","please"
"428","real"
"426","hard"
"425","book"
"422","between"
"420","call"
"419","money"
"418","thought"
"417","having"
"416","bad"
"416","god"
"416","left"
"413","music"
"403","making"
"401","once"
"396","came"
"395","second"
"394","actually"
"394","someone"
"391","run"
"389","yet"
"388","pretty"
"388","public"
"386","must"
"386","percent"
"385","working"
"381","head"
"381","story"
"378","job"
"377","nice"
"374","police"
"373","already"
